plnr,studieprogram,campus,år,termin
55022,MDIP,Bergen,2022,Vår
55461,KK-VVPB,Bergen,2023,Høst
55541,BSYK,Førde,2022,Vår
55560,PHDE,Bergen,2024,Høst
55900,KFB-DKB,Stord,2024,Høst
56515,VRA,Bergen,2023,Høst
56972,PHDH,Bergen,2021,Høst
57623,NO17KR,Sogndal,2024,Høst
58115,KFK-VEIL,Bergen,2024,Høst
58322,PHDH,Bergen,2020,Høst
58450,VTPHR,Førde,2024,Høst
58903,MPUV,Bergen,2023,Vår
59228,MDIP,Bergen,2022,Vår
59424,MASKA,Førde,2022,Høst
59442,VFHAM,Bergen,2024,Høst
59790,HSPED,Stord,2023,Høst
59901,EVUFHS,Førde,2024,Høst
60104,MADL,Førde,2019,Høst
60123,MASKA,Førde,2022,Høst
60259,EVUEFLKI,Bergen,2024,Høst
60669,MADL,Bergen,2022,Høst
61097,EVUEFLKI,Bergen,2024,Høst
61224,MADL,Førde,2021,Høst
61634,KK-SPESB,Sogndal,2024,Høst
61882,KK-SPESB,Sogndal,2024,Høst
62010,HSPED,Stord,2024,Høst
62987,EVUFHS,Førde,2024,Høst
62998,KFK-NOB1-N,Bergen,2024,Høst
63767,MASKA,Førde,2021,Høst
63890,PHDE,Bergen,2024,Høst
64132,O-VBB,Bergen,2024,Høst
64277,PPUYRKD,Bergen,2024,Høst
64697,HSPED,Stord,2022,Høst
64753,KFK-VEIL,Bergen,2024,Høst
65165,MADL,Førde,2023,Høst
65190,KFK-GLSM,Bergen,2024,Høst
65413,BSYKD,Førde,2024,Høst
65525,HSPED,Stord,2024,Høst
65535,MKUF,Stord,2024,Høst
65610,KFK-ENB1-N,Bergen,2024,Høst
65699,BIDR,Sogndal,2022,Høst
65715,EVUFHS,Bergen,2024,Høst
65715,MA-KSD,Bergen,2022,Høst
65760,MASKA,Førde,2021,Høst
65886,KK-SPESB,Sogndal,2024,Høst
66173,EVUEFLKI,Bergen,2024,Høst
66182,MADL,Førde,2023,Høst
66476,MAM,Bergen,2023,Høst
66765,MPUV,Bergen,2021,Vår
66765,PPUYRKD,Sogndal,2024,Høst
66851,MAJOR,Bergen,2024,Høst
67393,KK-SPESB,Sogndal,2024,Høst
67453,HISN,Sogndal,2023,Høst
67519,VRA,Bergen,2024,Høst
67826,MPUV,Bergen,2024,Vår
68189,EVUFLKI,Bergen,2024,Høst
68235,BSYK,Førde,2023,Vår
